"","klasifikasi","score","text"
"38","Netral",0,"pemerintah nyatakan mbangunan sdmpresident ri fathers of infrastructurejokowipresidenku "
"39","Netral",0," iya  warga negara lgbt   lindung hakhaknya  artian pemerintah  bangun "
"40","Netral",0," rangka giat inovasi polres raja amt  menjaga kelestarian laut  salah  ndukung obyek wisat "
"41","Netral",0,"pemerintah siaturunkan suku bungapresident ri fathers of infrastructurejokowipresidenku "
"42","Netral",0,"pemerintah siamenjalankan konsolidasi fiskalpresident ri fathers of infrastructurejokowipresidenku "
"43","Negatif",-1,"proyek merintah tukang gak dikasih apd  udah  dikasih tau   anggaran   kontrakto "
"44","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"45","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"46","Netral",0," namanya memrbaiki    tahaya     jalurnya dijalankan "
"47","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"48","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"49","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"50","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"51","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"52","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"53","Positif",3," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"54","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"55","Netral",0," forkoncam kuwarasan babinsa koramil  kuwarasan serda slamet suiyono menghadiri  mendamng "
"56","Negatif",-1,"  narkoba maling sendal maling rumah ramk bank membajak pesawat ngehack situs pemerin "
"57","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"58","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"59","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"60","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"61","Positif",2,"mendukung komitmen merintah meningkatkan ketahanan ngan nasionaljokowipresidenkupembangunanuntukrakyat "
"62","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"63","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"64","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"65","Netral",0," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"66","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"67","Positif",1,"beragam bansos disalurkan merintah kesa keluarga penerima manfaatbantuanbbmuntukrakyatbltbbmtetsasaran "
"68","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"69","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"70","Netral",0," pemerintah kalii"
"71","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"72","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"73","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"74","Positif",1,"pemerintah nyatakan pembangunan sdm kunci gapai indonesia emas jokowipresidenkupembangunanuntukrakyat "
"75","Positif",1,"pemerintah  menyiaan  temt  relokasi warga terdamk gem m   cianjur jawa barat  novemb "
"76","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"77","Netral",0,"mendukung nuh uya merintah  mbangunan sektor keuangan berkelanjutanjokowipresidenku "
"78","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"79","Positif",1," pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"80","Negatif",-1," hai kakakah transaksinya  sistem informasi pengadaan pemerintah sipp  langsung "
"81","Netral",0,"demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"82","Positif",2,"geser  covid pemerintah  fokus  kualitas layanan kesehatan "
"83","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"84","Positif",1,"ketum partai demokrat agus harimurti yudhoyono memenuhi undangan merintah australia  rangka memrkuat relas "
"85","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"86","Negatif",-3," kejahatan faktual yg dirasakan masyarakat  geng motor merintah sibuk ngejar ilusi teroris"
"87","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"88","Positif",1,"pemerintah  bantuan  masyarakatbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasaran "
"89","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"90","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"91","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"92","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"93","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"94","Positif",2," alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"95","Positif",1,"terima kasih merintahbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"96","Positif",1,"data beras   seragam  menyulitkan merintah menentukan kebijakan  diambil terkait berasberas "
"97","Positif",1,"bantuan  merintah  membantubantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasaran "
"98","Netral",0,"minat investor  merintah rluas area investasi  iknkotaduniauntuksemuaiknsejahterakanindonesia "
"99","Netral",0,"dukung merintah membangun sdm ungguljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"100","Netral",0,"pemerintah akui revisi uu ikn  akomodasi  investor "
"101","Netral",0,"jalin sinergitas  arat merintah kewilayahan babinsa koramil banyuuriserda wayan sutarma laksan "
"102","Netral",0,"hallooo sobatbkn kanreg ii bkn  membuka rekrutmen pegawai pemerintah non pegawai negeri ppnpn  inf "
"103","Netral",0," harga stb   daerah melambung    stok  langka solusi merintah serti a minn"
"104","Netral",0,"pemerintah jaga defisit apbn     persen kabarkabinet "
"105","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"106","Negatif",-2,"alus banget mengkritik merintah  jalan rusak "
"107","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"108","Netral",0,"   guru honorer lulus tes pppk kena ghosting pemerintah  pg "
"109","Netral",0,"demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"110","Positif",2," ideal dana mbangunan disimn  sat tinggal rencana ncairan anggaran  mda menunggu instruk "
"111","Netral",0,"pemerintah tentukan defisit apbn    persen "
"112","Netral",0,"   liberalisme bangsa     merdeka  kelomk liberal belanda  ralihan k "
"113","Negatif",-1,"   wajar  klo pemerintah aceh tdk  izin keda wan ngibul  anus bas edan   "
"114","Netral",0,"  jg mahu tegaskn langkah iran dgn dress code utk rakyatnya  valid  referendum rakya "
"115","Netral",0,"fixed exchange rate sistem kurs  ditetaan  merintah"
"116","Netral",0,"presiden da acara penyerahan dipa  buku daftar alokasi transfer  daerah ta    k "
"117","Positif",1,"pemerintah nyatakan pembangunan sdm kunci gapai indonesia emas jokowipresidenkupembangunanuntukrakyat "
"118","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas  jokowipresidenku "
"119","Positif",1,"pemerintah nyatakan pembangunan sdm  kunci  cai indonesia emas jokowipresidenku "
"120","Netral",0,"udah batch  website gaada imovement a a   error  loading sur  hadeuh hadeuhpingin ma "
"121","Netral",0,"pemerintah  bltbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"122","Positif",1,"babinsa koramil  kuwarasan serda jumadi menghadiri  melaksanakan ndamngan penyaluran bantuan langsu "
"123","Netral",0,"pemerintah  bumn bangun sektor keuangan berkelanjutanjokowipresidenkupembangunanuntukrakyat "
"124","Netral",0,"pemerintah jaga defisit apbn    persen "
"125","Netral",0,"pelaku umkm  nilaian  terhadamerintah terhadakemaman merintah   menciakan ra "
"126","Netral",0,"faktor   nong rtumbuhan umkm  work from office wfo pembelajaran tatamuka ptm  keb "
"127","Netral",0,"pemerintah tingkatkan ketahanan pangan nasionaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"128","Positif",3,"blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosialbltbbm "
"129","Negatif",-1,"pemerintah duli keda masyarakat cerdaspakaibbm bijakpakaibbm bltbbmbantumasyarakat bansosbbmringankanrakyat "
"130","Positif",1,"subsidi   pemerintah  tet sasaran cerdaspakaibbm bijakpakaibbm bltbbmbantumasyarakat "
"131","Negatif",-1,"pemerintah  menutumata keda masyarakat bantuanbbmuntukrakyat bltbbmtetsasaran subsiditetsasaran "
"132","Netral",0,"blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"133","Positif",1,"yuk  bantu pemerintah sukseskan subsidi tet sasaran bantuanbbmuntukrakyat bltbbmtetsasaran "
"134","Netral",0," temen ak inisialny a yg td masukkin kegruyg namany nusantara mnding lu  deh  gruj "
"135","Negatif",-1," tanyain  lihat  data  bps akah data kemiskinan rakyat  ngangguran "
"136","Negatif",-1,"bansos   pemerintah meringankan beban masyarakat bantuanbbmuntukrakyat bltbbmtetsasaran "
"137","Positif",1,"pemerintah  memrcet nyaluran blt bbm  kesejahteraan masyarakatbantuansosialbltbbm "
"138","Positif",1,"   hak dokter ndamngan kasih informasinya karna walaun gratis  hak mer "
"139","Positif",2,"alhamdulillah bantuan blt  pemerintah  cairterima kasih  jokowibantuansosialbltbbm "
"140","Positif",1,"pemerintah  menyusun apbn   menteri keuangan sri mulyani  keterangan rsnya  kantor presiden "
"141","Positif",1,"  masyarakat  mam membeli stb  akah   bantuan subsidi  merintah min"
"142","Negatif",-1,"bangun dayak center merintah hormati suku dayak yg  tuan rumah mantakotaduniauntuksemua "
"143","Negatif",-2,"otoritas hong kong  fatwa beijing  menilai akah ngacara asing dibolehkan beracara terkait  ka "
"144","Negatif",-1,"alasan pemerintah cabut izin pakai lokasi acara silaturahmi anies baswedan  aceh "
"145","Negatif",-1,"gus muhaimin berharamerintah dat mengevaluasi kebijakan imr beras   merugikan petani imr ber "
"146","Netral",0," pro merintah nya  klo  sisi osisi nya  "
"147","Positif",1,"bumn dukung nuh uya merintah  memitigasi resiko sistemik rbankan jokowipresidenku "
"148","Negatif",-1,"pemerintah  inflasi ngan jelang nataru dat terkendali jokowipresidenkupembangunanuntukrakyat "
"149","Negatif",-1,"dat  agen rubahan  dat menciakan nilai  da oduk  layanan instansi pemerintah "
"150","Netral",0,"pemerintah nyataan mabngunan sdm  kunci ntingjokowipresidenkupembangunanuntukrakyat "
"151","Positif",1," udah antri lamalama  shubuh  dat antrian stb gratis  merintah   undur besok "
"152","Netral",0,"pemerintah targetkan revisi uu migas ramng  jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"153","Netral",0,"pemerintah siaturunkan suku bunga kur sur mikro jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"154","Negatif",-3,"toyota  salah  brand raksasa  jeng  fokus mengurangi emisi kabon  mesin mbekaran  indo "
"155","Netral",0,"pemerintah  mengakrabkan kaum milenial  ngan lokal jokowipresidenkupembangunanuntukrakyat "
"156","Netral",0,"pemerintah siamenjalankan konsolidasi fiskal jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"157","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"158","Positif",1,"sobat bumnbulog pastikan pasokan beras aman enam  kedepanjakarta  november   direktur utama perum b "
"159","Negatif",-1,"anwar menilai merintah indonesia  setutnya  menerima tamu  tujuannya  merusak nilainilai lu "
"160","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"161","Positif",2,"lowongan cpns   dibuka pemerintah  perbanyak guru  tenaga kesehatan "
"162","Negatif",-1,"jessica stern dijadwalkan mengunjungi indonesia da  desember  stern direncanakan bertemu  me "
"163","Negatif",-1,"  okis menjustifikasi kalo merintah kagak becus ngurus jalan   dibikin tes  freestyler"
"164","Netral",0,"website karya anak bangsa  merintah yg harganya miliaran "
"165","Netral",0,"   indonesia mayoritas nganut ahlul sunnah waljamaah yg  d "
"166","Netral",0,"pemerintah tingkatkan ketahanan pangan nasionaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"167","Positif",1,"stunting      sorotan merintah     hadirnya resemakanan bergizi in "
"168","Netral",0,"rada aneh  oblem ijin gbkentah awalan nya misscom  gimana  ngelolaammerintah  gbksamk "
"169","Netral",0,"demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"170","Netral",0,"pemerintah  bumn bangun sektor keuangan berkelanjutanjokowipresidenkupembangunanuntukrakyat "
"171","Netral",0,"  kesini merintah  condong  monolisasi   harga stb mahal ta stand "
"172","Netral",0,"ketua dpd ri  pemerintah perketat penjualan racun  online "
"173","Netral",0,"ketua dpd ri  pemerintah perketat penjualan racun  online "
"174","Netral",0,"   masyarakat   tv analog sungguh kasihan   merintah  dimatikan"
"175","Negatif",-2," rakyat   makan aja  kesusahan ta merintah  menuntut masyarakat beli stb  harganya mahal"
"176","Netral",0,"menteri keuangan sri mulyani indrawati  sisi utang indonesia   kondisi  amantercatat "
"177","Positif",1,"menteri bumn erick thohir   merintah  imr beras   langkah   "
"178","Positif",2,"  mendukung pemerintah  meningkatkan kesejahteraan rakyat indonesia"
"179","Netral",0,"  ikutkena kau  nak  merintah"
"180","Positif",2,"komitmen merintah  subsidi tet sasaran bantuanbbmuntukrakyat bltbbmtetsasaran"
"181","Negatif",-1,"lho   rwakilan resmi  merintah "
"182","Positif",1,"menkes ungkaprioritas pemerintah  bidang kesehatan    ioritas   bergeser "
"183","Netral",0,"kirain merintah   "
"184","Negatif",-1,"peramsan tanah negara  merintah palestine jilid ii warga setemt    a "
"185","Netral",0,"as umumkan utusan khusus  lgbtqi   indonesiamungkin     jabat merintah  mener "
"186","Positif",1," kominfo  yg  bertanggung   melindungi data ivasi rakyatnya uu ite y "
"187","Negatif",-1,"caracara licik menandakan kenikan "
"188","Netral",0,"kanwil kemenkumham kaltim  bersinergi  pemerintah kabupaten kutai timur   pembentukan  p "
"189","Netral",0,"  merintah o rakyat ta  rakyat  nonton tv aja  dirsulit sih k"
"190","Positif",1,"pemerintah aceh raih juara  stand terbaik  peringatan  anti korui sedunia disumut "
"191","Negatif",-2," masyarakat  kesusahan  membeli stb kebijakan   tet  merintah mematikan tv analog"
"192","Positif",1,"pemerintah lakukan nguatan ispo  rcet realisasi sertifikasi "
"193","Positif",1,"beasiswa  biaya hidudari pemerintah australia  bond university australiabaca  dead "
"194","Positif",2,"lowongan cpns    dibuka pemerintah  perbanyak guru  tenaga kesehatan "
"195","Netral",0,"pemerintah siaturunkan suku bunga kur sur mikro     mendukung penuh jokowipresidenku "
"196","Positif",1,"sarinah duty free  etalase  keunggulan odukoduk lokal  mendukung cultural diomacy   d "
"197","Negatif",-1,"    mah sesuatubukankah riau  aceh  kantong nasdem  kela merinta "
"198","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"199","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"200","Netral",0,"lembaga sensor   naungan merintah china dikabarkan  mentakedown  ncarian  internet  m "
"201","Negatif",-1,"bentuk uya pemerintah utk membahagiakan rakyat indonesia ayo  dukungbltbbmbantumasyarakat "
"202","Netral",0,"pemerintah siajalankan konsolidasi fiskal  mendukung penuh jokowipresidenkupembangunanuntukrakyat "
"203","Positif",2,"   ham banget  kualitas merintah  melindungi data  jd  salah  "
"204","Negatif",-1,"gus muhaimin berharamerintah dat mengevaluasi kebijakan imr beras   merugikan petani imr ber "
"205","Netral",0,"sahabatpp  ditjen pp  dit hpp i  menyelenggarakan rat lanjutan  pengharmonisasian pemb "
"206","Netral",0,"uya pemerintah utk membahagiakan rakyat indonesia terima kasih  jokowi blt bbm mam ringankan beban masyar "
"207","Negatif",-2,"   kpk kena   menghalangi nyidikan kasusx didkibpk jugangamat yg membela formula e d "
"208","Netral",0,"     yg  beli bond merintah th  udah mayan"
"209","Netral",0," daerah det kayakya tu alagi info nyebra "
"210","Negatif",-1,"  masyarakat  sejahtera kalo merintah  menghas tv analog  indonesia"
"211","Negatif",-1,"sekretaris jenderal partai johnny gerard plate buka suara  ncabutan izin safari litik "
"212","Netral",0,"merintahsiaanrumahtybagiwargayangrelokasiakibatgemcianjur "
"213","Positif",1,"menkeu mendorong merintah sat maun daerah  membelanjakan anggaran r triliun da    r "
"214","Netral",0,"pemerintah mengeklaim    rdebatan  kewenangan otorita ikn "
"215","Netral",0,"  harga stb  indonesia  mahal mahal masyarakat berharanuh  kebijakan merintah  subsidi stb dibagi "
"216","Netral",0,"dukung merintah targetkan revisi uu migas ramng jokowipresidenkupembangunanuntukrakyat "
"217","Negatif",-1," masyarakat berharada merintah  tv analog  dihilangkan  negeri indonesia "
"218","Positif",1,"pemerintah lakukan nguatan ispo  rcet realisasi sertifikasi "
"219","Netral",0,"tingkat sitivity rate covid  dki jakarta  menanjak berdasarkan data pemerintah provinsi dki jakarta "
"220","Netral",0," umkmukm mah emang gabakal kena wajib umrumk bang yg kena  rusahaan dg total valuas "
"221","Positif",1,"pemerintah nyatakan pembangunan sdm  kunci  cai indonesia emas jokowipresidenku "
"222","Positif",1," ngain merintah  turun tangan membenahi sistim rusahaan start uyang udah bikin badai phk bukanny "
"223","Positif",1,"pemerintah nyatakan pembangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"224","Positif",1,"  harta benda   dikumlkan   kekuasaan merintah  merukan wakil  kaum mu "
"225","Positif",2," dat rice cooker gratis ketahui  syarat nerimanya"
"226","Netral",0,"beliau  semt disikut   turun ngkat ta skrg dat ngkat      "
"227","Netral",0,"  sri mulyani  pemerintah belanja anggaran  r triliun "
"228","Negatif",-1," pemerintah ketakutan sm k   kalo beliau org kuat yg ditakuti ra ngkhianat"
"229","Netral",0,"presiden joko widodo jokowi mengungkaan gencarnya mbangunan infrastruktur   merintah  nju "
"230","Negatif",-1,"negaralah   menguasai barang tambang  hukum  rtimbangan maslahat  menuntut aga "
"231","Netral",0,"presiden joko widodo jokowi mengungkaan gencarnya mbangunan infrastruktur   merintah  nju "
"232","Negatif",-3,"pemerintah berkomitmen   hilirisasi bahanbahan tambang    tanah air  mendatkan nilai "
"233","Netral",0,"presiden joko widodo jokowi mengungkaan gencarnya mbangunan infrastruktur   merintah  nju "
"234","Netral",0,"menkes budi gunadi sadikin mnjelaskn ioritas merintah dibidng kshatan brgeser  nanganan ndemi mnjadi  "
"235","Netral",0,"presiden joko widodo jokowi mengungkaan gencarnya mbangunan infrastruktur   merintah  nju "
"236","Positif",1," udah habis  uang merintah "
"237","Negatif",-2," teruntuk merintah semoga sadar  masyarakat  kesusahan kalo  beli stb"
"238","Negatif",-1,"pemerintah   inflasi ngan jelang natal     mendukung penuh jokowipresidenku "
"239","Positif",1,"holding bumn mendukung nuh uya ningkatan merintah  memotivasi resiko sistemik rbankan "
"240","Netral",0," masyarakatnya sih yg nrimo ing ndum  merintah ovinsinya  mendoktrin konsetersebut suya b "
"241","Netral",0," butuh didengar  ideidenya  merintah  kebijakan blik berdasarkan a  disuarakan   "
"242","Negatif",-1,"eh dunia  udah berubah lho    ogram memfasilitasi n  menyesuaikan keda  kat "
"243","Netral",0,"  tren    merintah kayak  mesti  kekaan da    ganjarganjar menut "
"244","Positif",2," meningkatkan ketahanan ngan nasional  komitmen merintah  mengakrabkan kaum milineal  n "
"245","Netral",0,"dukung merintah tingkatkan ketahanan ngan nasionaljokowipresidenkupembangunanuntukrakyat "
"246","Netral",0,"presiden serahkan dipa  tkd   pemerintah aceh "
"247","Netral",0," pemerintah  nyesuaian harga bbm  melindungi masyarakat dukung  "
"248","Netral",0," aesiasi  pemerintah riaukarena curi curi start safari litik  dikemas   acara   "
"249","Netral",0,"pemerintah targetkan revisi uu migas ramng   mendukung penuh jokowipresidenku "
"250","Positif",1,"holding bumn dukung nuh uya merintah  mitigasi resiko sistemik rbankan  mendukung penuh  "
"251","Positif",1," holding bumn mendukung nuh uya merintah  memitigasi resiko rbankanjokowipresidenku "
"252","Negatif",-1,"      mui bersurat resmi  merintah   sami jabat merintah yg "
"253","Negatif",-1," kayaknya sdh dilarang merintah    ya"
"254","Netral",0,"enam fokus kebijakan pemerintah  apbn "
"255","Positif",1,"  fpi  hti    dibubarkan pemerintah dul lu bayangin  dat dana hibah "
"256","Netral",0,"warga bercahaya  informasi  akun media sosial resmi pemerintah kabuten cilaca"
"257","Netral",0," milik    dikelola     diwakili  negara  merintah  berwenang aga "
"258","Netral",0," pemerintah     intoleransipr   pemimpin  pilih  berani   intoleransi"
"259","Negatif",-1," masyarakat sti dukung langkah merintah bantuanbbmuntukrakyat bltbbmtetsasaran "
"260","Negatif",-1,"enam fokus kebijakan pemerintah da apbn   meresns tantangan ekonomi global  sambutan presiden "
"261","Netral",0,"  "
"262","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas   mendukung penuh  "
"263","Negatif",-1,"kanit lantas polsek ujung pandang makassar iu surman hadiri rat rihal managemen analisis damk  linta "
"264","Positif",1,"holding bumn mendukung nuh uya merintah  mitigasi resiko sistemik rbankanjokowipresidenku "
"265","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"266","Negatif",-1,"pemerintah targetkan revisi uu migas selesai jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"267","Positif",1,"tingkatkan ketahanan ngan nasional  komitmen merintah  mengakrabkan kaum milenial  ngan lokal "
"268","Positif",2," assalamualaikum mohon maaf  kna stlah   almarhum sm  gk   bantuan merinta "
"269","Negatif",-2,"allah maha kaya  berkuasa membantu hamba nya sdr korban bencana yg ling bertanggung  mencuku  m "
"270","Netral",0,"pemerintah jokowi  mda  memrsulit investor "
"271","Positif",1,"dukung merintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"272","Positif",1,"ketiga kebijakan subsidi bbm yg ditemh pemerintah da agustus  berimikasi sitif terhadatekanan inflas "
"273","Netral",0,"mba mas nakes   sharing   rs swasta  rs merintah hehe makasih  work"
"274","Netral",0," tuh merintah tabuh genderang rang  untungnya rakyat ngga ngeresn  dibego begoin melulu dah am merdeka "
"275","Positif",1," semt kaget  salut  merintahan eeh merintah   negeri"
"276","Negatif",-1,"pemerintah   inflasi ngan jelang natal    sti dat terkendalijokowipresidenku "
"277","Netral",0,"forum bandung sehat fbs sinergikan  forum kecamatan sehat  kota bandung  menunjang ogram merintah da "
"278","Positif",1,"haran  piles yad cuku sangan s hemat biaya semoga  rlrl yg   ndukung merint "
"279","Netral",0," pemerintah"
"280","Positif",1," program kementerian yg laksanaannya diserahkan merintah daerah   dana "
"281","Netral",0," pemerintah  nyesuaian harga bbm  melindungi masyarakat du "
"282","Netral",0,"pemerintah targetkan ndatan r triliun  apbn  "
"283","Netral",0,"menkeu pemerintah teraan defisit fiskal maksimal   pdb  apbn  "
"284","Netral",0,"menkeu pemerintah teraan defisit fiskal maksimal   pdb  apbn  "
